,学科,科目,学员性别,学员年龄,薪酬水平,乘车补贴,学员状态,就读学校,教授时间,blank,居住区域,交通线路,blank,性别要求,需求人数,资格要求1,资格要求2,教学方式,状态
0,全科家教,三年级家教,男,8,140 /2h,无,"两个孩子 一个开学3年级 两个孩子 一个开学一年级  看着做功课
提高型,主要学习习惯培养，辅导其次",,周一到周四每天1点-3点  一周4次 一次2H,,康桥,康桥路御水路,,女,1人,在校教员，有耐心的，有辅导经验的， 会跟孩子沟通，懂得培养孩子学习习惯,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
1,数学英语家教,幼儿家教,女,,协商,无,准备考国际小学的，对数学英语都是有要求。数学逻辑思维的，最好百花里面或着学而思里面带过的 现在中班将来需要考国际双语小学,,暑假，下午5点以后，一周1到2次,,,三林西泰林路,,女,1人,专职教师，有经验的，负责一点的，要对幼升小有经验的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
2,英语家教,高三家教,女,,协商,无,开学高三 英语背单词及作业辅导,,暑假一周次数暂定1次 一次2小时,,,凉城路139弄凉城路139弄交界附近，8号线龙之梦换公交车21/975,,女,1人,在校教员，有补习家教经验 有耐心 上外或者师范类的大学生 一定是要带过高中英语家教经验的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
3,英语、数学家教,初一家教,女,14,300/2h,无,开学初一，提高型，巩固之前的，提前预习初一的,,暑假一周2-3次，周一三五下午1-4点，一次2个小时，开学以后周五晚上6点30，周六下午1-4点,,新华路,中山西路九九园交界附近，地铁3、4、10号线虹桥路站,,无,2人,在职教师，专业一点的，耐心，负责,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
4,数学家教,五年级家教,女,,协商,无,成绩一般，数学需要提高，开学六年级，最好可以顺带语文和英语作业,位育实验学校,一周2-3次，8月开始正式上课,,,陕西南路巨鹿路,,女,1人,在校教员，希望专业一点，能够负责任一点 家教经验丰富的,学员要求看简历，有意向的教员请认真完善简历。,"教员上门,学员上门",['发布中']
5,钢琴家教,三年级家教,男,,协商,无,有基础，学了一年多，没有考级，7月底考级,海南的学校,一周1-2次，一次1小时，时间协商，8月头有一周不需要上课,,九亭,涞寅路九杜路交界附近，沪亭北路,,无,1人,在校教员，有辅导经验，耐心一点，专业一点的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
6,数学英语家教,六年级家教,女,,120/2h,无,开学初一，辅导功课，巩固6年级的知识，英语补语法,,一周5次，一次2个小时，周一到周五白天,,,漕宝路静安新城交界附近，静安新城,,女,1人,在校教员，有辅导经验的，耐心一点,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
7,游泳 家教,二年级家教,女,,150/1h,无,开学二年级 零基础  有场地的,,一周3次，周一 周三 周四的下午 一周3次 一次一个小时,,,枣阳路兰溪路交界附近，曹杨影城附近,,女,1人,在校教员，游泳擅长的女孩子  突击学习,学员要求看简历，有意向的教员请认真完善简历。,教员上门,发布中
8,西班牙语家教,四年级家教,女,11,协商,无,会基础拼读 希望开始学语法。,,暑假周六周日下午2点左右 一周1-2次 2小时 开学后也需要,,方松街道,玉树路思贤路交界附近，9号线松江新城,,无,1人,在校教员，性格活泼一些 有带过西班牙语的补习经验 有耐心,学员要求看简历，有意向的教员请认真完善简历。,教员上门,发布中
9,英语家教,六年级家教,男,,150/2h,无,开学6年级，基础中等，听力和音标有点薄弱一点,,一周2次，一次2个小时，上午,,梅陇,上中西路朱梅小区,,女,1人,在校教员，有辅导经验，耐心一点，负责，擅长英语,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
10,学前教育家教,幼儿家教,女,4岁,协商,无,升中班，数学思维训练，看图说话。,,周日中午11点到1点，或者晚上7点以后，一周一次，一次2个小时。,,,昌平路康定路交界附近，7号线昌平路,,女,1人,在校教员，有补课经验的，有耐心的。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
11,数学家教,高三家教,男,,协商,无,"补差型,英语词汇，作文，完型，数学基础较差，要每种题型分步骤细心讲解",,暑假一三五早上 一周3次,,国和新村,国和二村欧尚附近交界附近，8号线嫩江路步行10分钟以内,,无,1人,在校教员，优先要在校大一新生或者大二的，数学底子好的，分数高的，最好是外省市熟知安徽教材的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
12,语文家教,初一家教,女,,350/2h,无,阅读理解和写作，成绩不理想，基础不好,,暑假期间隔天上，一次两个小时,,,武定西路1398弄交界附近，2号 11号线,,女,1人,在职教师，耐心，有经验的， 女老师优先,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
13,化学家教,初二家教,女,,400/2h,无,9月份初三，成绩一般，提高。预习初三的新课。,上师大附中,暑假7月份开始，周一三周五上午10点到12点，一周2次，一次两个小时。,,,梅川路嘉泰花园交界附近，13号线祁连山南路下来步行1.8公里,,无,1人,在职教师，有补课经验的 耐心，负责一点，最好是女老师。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
14,钢琴家教,成人家教,女,25,300/45分钟,无,学过几年 有点基础，需要提高,,两周1-2次，一次45/分钟,,,学生上门学生上门,,无,1人,要专业学院的研究生，像上音，中国，中央,钢琴表演专业,学员要求看简历，有意向的教员请认真完善简历。,['发布中']
15,钢琴家教,六年级家教,女,12,协商,无,今年8月份考上海音乐学院8级之后想要继续考级,,一周一次，一次1小时，周末时间协商,,共富新村,水产西路富长路,,女,1人,专职教师，耐心，负责，有考级经验，乐理也可以带的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,发布中
16,英语家教,高一家教,男,,300/3h,无,9月份高二，成绩中等偏下。提高。,,周天下午1点到4点。一周一次，一次3个小时。,,彭浦新村,场中路三泉路交界附近，1号线彭浦新村站走15分钟,,男,1人,在校教员，有补课经验的，985学校优先。上海人，学霸型,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
17,英语家教,五年级家教,男,,协商,无,开学六年级，预习新课，巩固基础,山中学小学,一周2次，一次两个小时，时间可商,,,"梧州路周家嘴路交界附近，4号，10号海伦路5,6分钟",,男,1人,在校教员，有责任心 有经验的老师上外英语专业的优先,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
18,全科辅导家教,初一家教,男,,180 /3h,无,开学7年级，巩固5-6年级的知识，成绩一般，学员是体育生,,暑假里面，一周4次，周二 周四上午，周六周日可以协商 一次3H,,,莘松路康城小区瀑布湾道交界附近，康城小区瀑布湾道,,无,1人,在校教员，有辅导经验的，耐心，认真会跟孩子沟通的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,发布中
19,数学家教,三年级家教,女,,协商,无,开学3年级，成绩还可以，计算容易出错，巧算和奥数,上外附小,"7月头底开始
一周1-2次，一次2个小时，周一到周五白天时间",,凉城新村,凉城路秀苑小区,,无,1人,耐心，辅导经验非常丰富 在职老师和大学生都可以,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
20,英语  数学家教,初二家教,男,,400/2h,无,开学初二 成绩不错的  预习新课 （数学女孩要女老师开学3年年级暑假一周2次  300/2h）,三林,一周3次 暑假就可以开始  开学继续带的,,三林镇,浦秀路江月路交界附近，8号线江月路,,无,1人,在职教师，清爽一点的老师  要在职老师 普通话说得好的 必须是在职的老师,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
21,语数外家教,幼儿家教,女,5,150/2h,无,陪读英语绘本,复旦万科实验小学,时间可以协商,,,都市路金都路,,无,1人,在校教员，英语好一些的，口语要好一些的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
22,托福家教,初二家教,女,,协商,无,零基础，教材没有，2个孩子，一男一女,文莱中学,一周5次 一次4个小时  周一到周五上午或者下午,,,平吉路古美路,,无,1人,负责任，成绩好的，有家教经验，专业一点，女老师优先,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
23,英语家教,一年级家教,女,,120/2h,无,6岁女娃，英语辅导 开学一年级 读课文,,暑假一周2-3次 每次2小时,,,碧江路东川路,,女,1人,在校教员，有补课经验的  发音准的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
24,全科 奥数家教,幼儿家教,女,4,协商,无,复习机构思维课和看图说话课内容(有机构上课视频可回看)和辅导机构布置的家庭作业,,一周三次，每次1.5小时(如果有奥数竞赛获奖的学生，每次可以每次2小时，顺便辅导大宝小学奥数,,,张杨路中星海上景庭交界附近，六号线地铁站门口100米,,女,1人,在校教员，有经验的女老师 监督并辅导完成其他思维书籍 监督朗读英文书籍 最好画画也好(孩子很爱画画和折纸很好),学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
25,数学家教,初一家教,男,,300/2h,无,开学初二 上半学期还有两章节 预习下半学期的代数方程和一次函数,交大附中,"一周次数协商 一次2个小时
16号之前时间协商 8.12-8.23号连续十天晚上6点钟以后 开学后周六晚上",,,源深路张杨路交界附近，源深体育中心站步行10分钟左右,,男,1人,在职教师，希望能提高孩子学习英语的兴趣。必须是民办重点中学的老师。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
26,作业辅导家教,四年级家教,女,,120/2h,无,主要作业辅导 补习英语，音标,徐实验,暑假。时间协商每周二次，开学后周一到周四晚上，一周4次,,,罗秀路罗秀新村交界附近，罗秀新村,,女,1人,在校教员，有补课经验的，负责一点的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,发布中
27,数学 语文家教,初一家教,女,,160/2h,无,6年级升7年级山东潍坊课本 成绩一般 辅导课内的 预习初一课程 巩固基础 教材有的,山东潍坊,一周3-4次 暑假开始7.10左右开始,,,铁力路同济路交界附近，3号线水产路,,女,1人,在校教员，有补课经验的  有耐心的 有方式方法的 有山东的大学生优先,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
28,数学家教,初一家教,男,,140/2h,无,9月份初二，成绩不是很好，60多分左右，以课本基础知识为主。,,全周白天，一周2次，一次两个小时。(周一三下午1点到3点不行）,,安亭,杭桂路绿苑路交界附近，曹安路同济大学附近,,男,1人,在校教员，有补课经验的，耐心负责,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
29,英语 家教,高二家教,男,,180/2h,无,成绩较差，重点补课内知识点，开学高三 复习,金汇高中,一周2-3次 具体时间协商 每次2小时  开学也要的,,,漕宝路合川路,,无,1人,在校教员，有辅导经验，有经验的， 负责一点 上海人,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
30,化学  英语家教,初二家教,女,,150/2h,无,成绩一般 预习初三,虹口公办学校,"暑假上课，一周2-3次
一次2H",,,3号线淞发路地址站3号线淞发路地址站交界附近，3号线淞发路地址站,,男,2人,在校教员，要研究生 有补课经验的 英语专业,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
31,英语家教,高一家教,女,,140/2h,无,中考成绩区重点的分数。预习新高一的内容。,杨园中学,"周日下午,一周一次，一次两个小时",,,新园路洲海路交界附近，6号线五洲大道,,女,1人,在校教员，有补课经验的，耐心的。女大学生。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
32,数学 奥数家教,四年级家教,男,10岁,协商,无,思维模式 又有留学经验 奥林匹克的竞赛最好  一对二 开学5年  体制外的学校,更新小学,一周1-2次 每次2小时  二四上午 9-11点,,东明路,华夏西路东明路交界附近，6 11 号线,,女,1人,有辅导经验的，负责一点，年级轻一点的，要留学生体制外的学校  以这个来教奥数,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
33,英语家教,初三家教,男,16,协商,无,初三升高中，教材是English second language,行知实验中学,总共3周，一周4-5次，一次两个小时，时间可商，7月开始,,大华新村,行知路真华路交界附近，7号线走15分钟,,无,1人,在校教员，上外的学生，有补课经验的，上门须出示身份证和学生证,学员要求看简历，有意向的教员请认真完善简历。,教员上门,发布中
34,语文家教,幼儿家教,女,,协商,无,开学1年级，双语学校，学校进度过快，想补习拼音，认字方面的。0基础。,国际学校（双语学校）,暑期7月份开始周一和周四下午，一周2次，一次2个小时。,,古北新区,伊犁路玛瑙路交界附近，10号线伊犁路站3号口,,女,1人,专职教师，有补课经验的，有耐心的。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
35,英语家教,四年级家教,女,9,140/2H,无,开学4年级 成绩一般 不明白的地方讲解。英语比较弱,国际学校,周一到周五，一周3次，一次2小时，白天或者晚上,,,都会路金都路交界附近，地铁5号线银都路,,女,1人,在校教员，补课经验丰富，经验好一点，耐心负责 。华师大，交大的优先。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
36,语文家教,一年级家教,女,7,300/2h,无,开学一年级 阅读，诗词,,7月下旬上午，周一到周五的上午，一周2次,,,泸定路真北路交界附近，13号真北路步行500米,,无,1人,在职教师，学校在职语文女老师 会读绘本、阅读,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
37,数理化家教,高一家教,男,17,协商,无,9月份高二，数理化，成绩很好，不是很稳定。,复旦附中,全周，一周个1次（共三次），一次两个小时。,,,株洲路广中路交界附近，1号线上海马戏城站走10分钟可到,,男,1人,在校教员，有补课经验的，有耐心，上海人，应届毕业生，学霸型的。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
38,语文 数学家教,二年级家教,女,,120/2h,无,开学三年级 成绩一般，基础一般，提前预习3年级的，数学为主,公立学校,开学开始，一周1次，一次2个小时，平时晚上,,,南方商城附近古美西路交界附近，南方商城附近,,无,1人,在校教员，辅导经验丰富的，耐心负责,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
39,全科辅导家教,三年级家教,男,,220/2,无,辅导作业 成绩还可以,协和国际小学,"主要开学可以带的开学一周6次 周一到周六 晚上上课  。暑假一周2-3次
 一次2小时",,,沪星路299弄七莘路,,无,1人,有辅导经验 有耐心 方式方法好的 要开朗的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
40,钢琴家教,大一家教,男,18,协商,无,从小学琴，现在遇到瓶颈了，需要乐理方面的指导,,周六周日，一周一次，一次1个小时。,,,华润中央公园四期华润中央公园四期交界附近，华润中央公园四期,,男,1人,在校教员，有补课经验的，有耐心的。上音的研究生。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
41,语文家教,高三家教,女,17,160/2h,无,"提高型,成绩还可以  开学高三",,暑假一周1-2次 每次2小时,,,秀沿西路秀沿西路交界附近，保利林语溪,,女,1人,在校教员，有补课经验的 有方式方法 孩子可以接受的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
42,英语 全科作业辅导家教,一年级家教,男,,300/2h （老师）120/2h(大学生）,无,提前预习2年级的内容，想考国际学校；全科陪读，作业辅导,公立,一周3-4次，一次2个小时，白天时间协商；全科一周5次，一次2个小时，上午,,,即墨路上船公寓,,无,2人,有补课经验，耐心一点,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
43,钢琴家教,成人家教,男,35,协商,无,不考级。兴趣爱好,,周一到周五晚上6点以后，周末全天，一周一次，一次1个小时。,,,株洲路延长路,,男,1人,在校教员，喜欢上音的男教员，一定要是钢琴系的。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
44,数学英语家教,二年级家教,男,,300/2h（老师） 140/2h（大学生）,无,辅导作业，预习新课,,一周1-2次，一次两个小时，周五4-6,,,仁恒河滨花园,,男,1人,有经验，耐心，擅长带下孩子,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
45,数学家教,四年级家教,女,,140 /2h,无,数学成绩一般，性格文静开朗,东安三小,7月中旬开始，一周一次，整个周二,,,东安路斜土路,,女,1人,在校教员，辅导经验丰富的，耐心负责，偏奥数,学员要求看简历，有意向的教员请认真完善简历。,教员上门,发布中
46,数学家教,高二家教,女,,协商,无,9月份高三，成绩中等,,一周2次，一次2小时，,,,武威东路桃浦西路交界附近，11号线李子园站步行10分钟,,女,1人,在职教师，补习家教经验丰富的，细心一点，耐心一点的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
47,功课辅导家教,四年级家教,女,,180/3H,无,成绩一般  功课辅导 开学5年级,,"九月份开始周一到周五 5点-8点
一周5次
一次3H",,,和政路仓场路,,女,1人,在校教员，有辅导经验的，耐心 负责,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
48,书法家教,初一家教,男,,协商,无,之前学过一点，开学初二，一对2,新复兴,一周1到2次，时间协商,,,新同心路株洲路交界附近，3号线龙之梦1号线延长路,,无,1人,专职教师，有补课经验，负责一点的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
49,英语家教,三年级家教,男,,120 /2h,无,开学3年级 拔尖型 提前学习,徐汇实验,暑假里面 周一到周五的早上  4次 一次2H,,植物园,龙瑞路龙吴路,,无,1人,在校教员，有辅导经验的，耐心，负责，要求学校好的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,发布中
50,英语口语家教,成人家教,男,,协商,无,没有考过级，准备考级的，工作当中需要的，偏商务的  学员从事酒店工作的,,周六 周日 的下午2-4点 一周2次，一次2H,,长寿路,长寿路常德路交界附近，公共场合上课,,无,1人,在校教员，有辅导经验的，口语要好的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
51, 英语 数学家教,二年级家教,女,9,协商,无,提高型 学而思的内容 英语语法的教授  语法阅读擅长带动学生兴趣 与教学方法  数学 可以教思维题奥数 或学而思,,暑假每天。一周2次，一次2H,,徐泾,前云路交界附近，17号线徐颖站,,无,2人,有辅导经验的 耐心，负责 留学生优先 纽约大学口语发音纯正,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
52,全科+钢琴陪练家教,一年级家教,女,,协商,无,主要陪孩子做作业，检查下，纠正错题，孩子做作业的自觉性较差，钢琴零基础-陪练,幼儿园,"暑假7.20号左右开始 周一二三四 16:00-18:00或16:30-18:30 次数可协商 一次2小时 
开学后周一到周五时间协商",,,潍坊西路浦明路交界附近，靠近陆家嘴,,女,1人,在校教员，要英文口语好的，最好还能钢琴陪练,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
53,物理化学家教,高一家教,男,,协商,无,数学学习成绩良好，性格开朗,罗山中学,8月10日开始，一周一次，每周六下午2：00-4:00,,金杨新村,羽山路民生路,,无,1人,在校教员，辅导作业难题,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
54,英语 家教,二年级家教,男,,协商,无,英语： 成绩不错，要求口语加强。新概念和ODI,,"一周两次周二晚上，周六
，一次两个小时",,,政悦路殷行路,,女,1人,在校教员，有经验，耐心。英语要英语专业的，只考虑同济复旦英语专业的，理工大的也可以考虑，上门需查看身份证和学生证,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
55,数学家教,高一家教,男,,协商,无,小孩数学英语都很不错，增强,嘉定银园中学,一周二次，具体协商，一次2小时，具体协商,,,洪德路沪宜公路交界附近，11号线白银路,,无,2人,专职教师，家教经验丰富的，耐心负责，正在嘉定带教的更好,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
56,数学家教,一年级家教,女,8,130/2H,无,开学二年级 成绩中上,,9月份周日下午1-4点之间2小时,,,澳门路昌化路交界附近，13号线江宁路步行8分钟,,无,1人,在校教员，有辅导经验的 耐心 负责 本地的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
57,中文家教,成人家教,男,,150/1h,无,韩国人，有一点基础，学习中文 纠正发音声调,,一周2次 7-8点 每次一小时 二 四 早上 时间也可以商量,,,龙柏新村汉中路,,女,1人,有带过的，专业一点，广东人不要,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
58,数学家教,高三家教,女,,协商,无,成绩中等，外面有补课的，回来要找个大学生,公办学校市重点,暑假一周一次,,花木,锦河路绿城交界附近，2号世纪公园下来15分钟左右,,女,1人,在校教员，有补课经验的，负责一点耐心一点的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
59,英语家教,高一家教,男,,协商,无,"成绩不是很好,基础差",黄浦区普通中学,7月底上课，一周2-3次，一次两个小时，时间可以协商,,,宜山路柳州路交界附近，9号线桂林路,,男,1人,在校教员，有补课经验的  带的好的大学生,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
60,托福家教,初二家教,女,,160/2h,无,准备出国，想达到托福100分，听力写作有点问题，7升8,,暑假上午，7月21到8月9号不在上海，其他上午时间都可以，一周3次左右,,,中春路银都路交界附近，5号线银都路下来自行车5分钟,,女,1人,在校教员，有耐心 认真负责,学员要求看简历，有意向的教员请认真完善简历。,"教员上门,在线辅导",发布中
61,英语数学家教,五年级家教,男,9,协商,无,成绩一般，英文版教材，9月份要去国际学校的，预习6年级的知识，英语阅读和写作方面,七宝外国语,一周1-2次，一次2个小时，周末,,,金都路都市路交界附近，5号线沪闵路走10多分钟,,无,1人,一定要补课经验丰富，有留学背景的，非诚勿扰！上门请携带证件。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,发布中
62,英语家教,初一家教,女,,300/2h,无,"开学初一，基础还可以，预习新课,上学期间能去接孩子并且和老师了解情况，孩子学校是华政附中，离孩子家走路也就20分钟",,一周1-2次，暑假周一到周五白天，上学期间是周一到周四晚上,,中山公园,中山公园中山公园附近,,女,1人,在职教师，退休的老师最好，耐心一点,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
63,数学家教,高二家教,女,,协商,无,数学还可以的，要提高，高一升高二，复习预习,位育中学,一个暑假10多次，时间协商,,,南方商城附近南方商城附近交界附近，1号线外环路下来走10分钟,,无,1人,在职教师，有补课经验负责一点的，人品好，要四校的老师。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
64,数学家教,五年级家教,女,11,150/2h,无,"提高型,明年小升初择校 奥数解题思路清晰 会讲会教 奥数启蒙阶段 学而思教材思维训练  开学5年级",绿苑小学,每周二四上午9点到11点 或下午也可以 一周1-2次,,北新泾,淞虹路地铁站天山西路福泉路,,无,1人,在校教员，有补课经验的 奥数解题思路清晰 会讲会教 男孩上的  女孩优先,学员要求看简历，有意向的教员请认真完善简历。,"教员上门,协商",['发布中']
65,数学英语家教,五年级家教,男,,协商,无,孩子成绩还可以，要上升初中教材,莘庄镇小,暑假周二和周四上午全天 一周2次,,,富都路天河路,,无,1人,在校教员，家教经验丰富的，耐心负责的，只要师范类数学专业的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
66,英语写作家教,二年级家教,女,,协商,无,基础还可以，和老外对话没有问题,星河湾小学,8月12号开始，一周2次，一次2个小时，白天,,,都会路星河湾,,无,1人,专职教师，有补课经验的，有教学经验的，找一个abc,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
67,声乐家教,幼儿家教,男,,协商,无,6个孩子，0基础。,,周末，一周1~2次，一次1.5h。,,马桥,银春路富学路交界附近，5号线北桥站转一部公交10分钟,,女,1人,在职教师，有补课经验 有耐心。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
68,大提琴家教,成人家教,女,30+,150/45min,无,学了10次课左右，目前打基础阶段 乐器有的，兴趣爱好,,一到两周1次，一次45分钟，周末时间可以协商,,,佘山地铁站附近佘山地铁站附近,,女,1人,稍微专业一点的，有经验,学员要求看简历，有意向的教员请认真完善简历。,教员上门,发布中
69,全科家教,二年级家教,女,,4000/1个月,无,机构课 小班制  5-8岁的暑拖班   4-6个孩子,,周一到周五  9:00-4:00 中午孩子午睡  一个半月,,,芳甸路阳高中路,,无,1人,在校教员，有经验的 能力比较好的  最好是带过孩子的 最好能是艺术类的教员 会看谱,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
70,数学家教,一年级家教,女,,120/2h,无,开学二年级 课内的 成绩还可以 逻辑欠佳,私立学校,一周1-2次  8月5号开始 每次2次,,,上南路林海公路,,无,1人,在校教员，数学教的好的 有补课经验的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
71,英语家教,三年级家教,女,,协商,无,开学4年级，英语还不错，可以唱英文歌曲的老师,,一周1次，一次1小时，具体的时间可以协调,,,昌化路淮安路,,女,1人,专职教师，学校的老师，有经验的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
72,奥数家教,三年级家教,女,,120/2h,无,开学4年级 学而思学过的 高斯宝盈教材 陪孩刷题讲解,虹口三中心,一周2-3次,,,广粤路广中路,,女,1人,在校教员，有补课经验的 有耐心 细心一些,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
