,学科,科目,学员性别,学员年龄,薪酬水平,乘车补贴,学员状态,就读学校,教授时间,blank,居住区域,交通线路,blank,性别要求,需求人数,资格要求1,资格要求2,教学方式,状态
73,柳琴家教,幼儿家教,女,,协商,无,零基础，没乐器,,一周1次  时间协商,,,学员上门学员上门交界附近，学员上门,,女,1人,有补课经验的，上门出示相关证件,学员要求看简历，有意向的教员请认真完善简历。,学员上门,发布中
74,英语家教,成人家教,女,成人,协商,无,考过4级，需要补充提升,,一周3次，一次2H,,,开元地中海,,无,1人,专职教师，有辅导经验的 耐心负责,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
75,英语家教,成人家教,女,成人,协商,无,考过4级，需要补充提升,,一周3次，一次2H,,,开元地中海,,无,1人,专职教师，有辅导经验的 耐心负责,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
76,语文家教,四年级家教,男,9,300/2h,无,9月份5年级，语文成绩中等偏下。,辛水璐小学,暑假7月1日开始，7月10日到8月8日不需要。之后一直需要，一周2次，一次两个小时。开学之后一周一次，周五或者周末，一次两个小时,,菊园新区,盘安路平城路交界附近，11号线嘉定西站下来15分钟可到,,女,1人,专职教师，有补课经验的，有耐心的。上门带证件,学员要求看简历，有意向的教员请认真完善简历。,教员上门,发布中
77,英语家教,幼儿家教,男,,协商,无,9月份中班，学校里面学的有限，一对2,私立幼儿园国际,一周2到3次，时间协商  平时的时间,,,陆家泉路陆家泉路,,无,1人,专职教师，最好学前教育，有经验，耐心 要试课的，试2次，每次1小时,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
78,英语  数学家教,高一家教,男,,180/2h,无,开学 高二 成绩一般，语法阅读 做题方式方法，解题思路清晰,市西中学,一周2-3次，长期要的,,,大连路四平路交界附近，8.10号线,,女,1人,在校教员，有补课经验的，耐心，会根据孩子制定课程的 第一次上课要带学生证的， 方式方法好的 可延长期带的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
79,全科语数外家教,二年级家教,男,,300/2h,无,辅导功课， 预习下 开学2年级,公办小学,8月1号开始，周一周三周五，一周3次,,,鑫都路鑫峰苑,,女,1人,专职教师，辅导经验的，耐心一点,学员要求看简历，有意向的教员请认真完善简历。,教员上门,发布中
80,全科家教,一年级家教,男,9,协商,部分,9月份2年级，提高型，辅导作业,,暑假8月7日开始下午2点到5点，一周5次，一次3个小时。,,,地铁10号线伊犁南路站,,女,1人,在校教员，有补课经验的，研究生佳，英语6级以上,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
81,游泳家教,成人家教,女,,150/h,无,一男一女，零基础，希望老师有熟悉的场地,,周一到周五晚上7点以后，一周1-3次，,,,肇嘉浜路地铁站附近肇嘉浜路地铁站附近,,无,1人,专业一点的，负责一点,学员要求看简历，有意向的教员请认真完善简历。,教员上门,发布中
82,陪玩 家教,幼儿家教,女,6,协商,无,开学1年级，锻炼身体，户外的，做做远动，排球，自行车，有大人陪同的,,一周3次，一次1.5个小时，早上7点左右,,,谷阳北路文翔路,,无,1人,在校教员，有辅导经验的，耐心一点，体育专业的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
83,科学家教,初一家教,男,,150/2h,无,开学初二，物理生物相对薄弱一点,,一周2-3次，一次2个小时，上午,,,奉贤医院附近邮电路交界附近，奉德苑东区,,男,1人,在校教员，有辅导经验的，耐心一点，负责,学员要求看简历，有意向的教员请认真完善简历。,教员上门,发布中
84,电子琴家教,初二家教,男,12,协商,无,学过半年多的钢琴 找个键盘老师，想学习点和弦走向和分解，流行乐的即兴伴奏,,暑假周一到周日 一周1-2次 开学后每周一次,,,东兰路古美路交界附近，12号线虹梅路步行5分钟,,无,1人,最好是乐队里做过的老师 有耐心的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,发布中
85,语文数学家教,初三家教,男,,协商,无,中等，阅读写作 开学高一 预习新课  要找小班课程,陆川学校,一周2-3次看老师的安排,,,共和新路共康路,,无,1人,在职教师，有经验，能提升成绩的，可以上小班，一对四的,学员要求看简历，有意向的教员请认真完善简历。,学员上门,['发布中']
86,语文家教,四年级家教,女,,300/2h,无,成绩还可以 阅读和写作需要提升,武宁路小学,开学后周日下午1：30-6点之间2小时 一周一次 一次2小时,,,武宁路东兴路交界附近，3/4/11曹杨路站步行5分钟,,女,1人,专职教师，有经验的，负责一点的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
87,英语家教,五年级家教,男,,300/2h,无,基础一般，比较马虎，上课不太认真,通河三小,一周一次，一次2个小时，星期六上午,,,通河七村通河七村,,无,1人,在职教师，严格一点，专业一点，初中老师，上海人,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
88,科学 数学家教,初二家教,女,,150/2h,无,在浙江读书，物理化学都需要辅导一点，最近一次考试50分左右，数学也要辅导,,8月15号之前，一周1-2次，一次2个小时，每13天回来一次,,,牡丹江路水产路交界附近，海滨八村,,女,1人,在校教员，家教经验丰富的，耐心负责 浙江籍的教员,学员要求看简历，有意向的教员请认真完善简历。,教员上门,发布中
89,全科家教,五年级家教,男,,协商,无,成绩中等，不稳定，辅导功课，陪读，需要开车接送孩子,,一周7次，早上9点到晚上9点；上学期间是周一到周五，下午4点到晚上9点，周六周天也是全天,,,武夷路定西路交界附近，2号线中山公园,,无,1人,希望老师有经验的，能管得住孩子的 有补课经验的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
90,新概念家教,二年级家教,女,,140/2h,协商,上新概念青少年版，上册学完了，下册学了一半,,8月开始，一周2-3次，一次两个小时，时间可商，开学后周六，一周一次,,,双桥路赵家沟桥,,女,1人,在校教员，有耐心，方法好。和蔼可亲。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
91,小学英语教师资格证家教,大四家教,男,,协商,无,要考小学英语教师资格证 大学英语6级516,,7月中旬以后，,,,锦秋路南陈路交界附近，上海大学北门,,无,1人,在校教员，有经验的，负责一点发,学员要求看简历，有意向的教员请认真完善简历。,教员上门,发布中
92,语数外 小提琴或钢琴家教,幼儿家教,女,5岁半,150/2h,无,开学大班 需要大学生家教 陪四岁半女儿 教一些简单的英语 语文 陪练一会钢琴或者会小提琴  首选小提琴,,一周4次，一次2个小时，周一到周五下午6点30，周三不需要 目前晚上  暑假可能该白天,,塘桥,东方路浦建路,,女,1人,在校教员，耐心，有经验的，负责 首选小提琴,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
93,英语家教,高一家教,男,,120/2H,无,比较叛逆，不怎么喜欢英语，英语比较差,闸北民办初中,暑假里面 一周2-3次  一次2H 周末的时间,,,共和新路永和路,,无,1人,在校教员，最好能让孩子喜欢上英语的，要师范的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
94,英语家教,高一家教,女,17,180/2h,无,9月份高二，英语中等偏上，提高。,,周一三五上午，一周2~3次，一次两个小时。,,梅陇,春申路虹梅南路,,女,1人,在校教员，上海人  上海高中毕业的 有补课经验的 对高考知识,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
95,英语家教,二年级家教,女,,协商,无,读原版的绘本书，教给孩子怎么读书,英国学校,暑假开始，一周5次白天下午 一次2H,,,金光路北青公路,,女,1人,在校教员，有留学经验的 ，口语发音纯正,学员要求看简历，有意向的教员请认真完善简历。,教员上门,发布中
96,数学家教,二年级家教,女,,协商,无,9月份3年级，数学成绩不稳定。成绩中等。,,9月开始上课，周一到周三晚上4点半以后，周日上午，下午3点半以后，一周1~2次，一次两个小时。,,三林镇,西泰林路永泰路交界附近，11号线浦三路下来10分钟站,,无,1人,在校教员，有补课经验的，有耐心的。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
97,全科语数外家教,五年级家教,男,,150/2h,无,辅导功课，预习复习，提前6年级学一下也可以，数学有课外奥数作业,,暑假8月份，一周5次，一次2个小时，上午,,,长宁路江苏路,,男,1人,在校教员，有辅导经验的，耐心一点，擅长数学一点,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
98,数学 英语  芭蕾家教,三年级家教,男,9岁,协商,无,开学4年级 数学想了解奥数 主要思维这块    一对二 教材全英文的  一个孩子一小时,私立学校,暑假 一周3次 具体时间协商 钢琴一周3次以上一个孩子45分钟,,,红松东路古北路,,女,2人,专职教师，有经验的钢琴老师  最好小提琴也能教  有耐心,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
99,小提琴家教,大一家教,女,19,100/h,无,学习了一年，没有考级 自己练习,,暑假里面 一周1-2次,,青浦镇,浦仓路,,无,1人,在校教员，有辅导经验的，耐心负责,学员要求看简历，有意向的教员请认真完善简历。,教员上门,发布中
100,数学家教,四年级家教,男,,协商,无,成绩一般,东方小学,数学周三周五8:00-10:00,,塘桥,东方路峨山路交界附近，地铁4.6号线东方路,,男,1人,在校教员，要研究生或者博士生 要数学专业的，好学校的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
101,语文/英语家教,五年级家教,男,,120/2h,无,9月份6年级。成绩班级里成绩良。补差。阅读写作，文学常识针对性的辅导。语法要加强。,永和小学,7月开始周一三周五。一周2次，一次两个小时。,,永和小区,高平路汶水路交界附近，公交210终点站,,男,1人,在校教员，有耐心，有补课经验的，好一点的学校。要备课，要针对性的辅导。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
102,功课辅导+接送家教,三年级家教,男,,15000/月,无,两个孩子 一个二年级女生 一个初一男生 接送孩子（开车）上辅导班 加功课辅导,,暑假里面2个月 8点半到下午5点半 一天8个小时中间一个小时休息 可以一起跟孩子吃饭,,,梅川路祥和名邸,,无,1人,在校教员，有辅导经验的，有爱心的，2年以上的驾龄 学校要985 211的 研究生,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
103,三味线 家教,成人家教,男,25,协商,无,您好 想学习三味线 零基础 自己兴趣,,一周2次 每次45分钟,,,兰谷路绿城御园,,无,1人,有补课经验的 有耐心的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,发布中
104,英语 数学 家教,初一家教,男,,协商,无,成绩还可以，阅读理解和语法写作；数学英文版教材,双语学校,一周2次，平时一次晚上6点开始和周日全天时间协商 一次2小时，数学一周1-2次，一次2个小时，平时一次周末一次,,,都会路金都路交界附近，5号线,,女,2人,有补课经验的，负责一点的；在职英语老师或者英语专业的大学生 数学可以找交大男的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
105,英语家教,初二家教,男,,150/2h,无,开学初三，在安徽读书，150分考了59分,,一周2-3次，一次2个小时，周一到周五白天,,,漕宝路地铁站下来2分钟漕宝路地铁站下来2分钟,,无,1人,在校教员，有辅导经验的，耐心一点，英语好一点,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
106,语文家教,初一家教,女,,300/2h,无,基础中等，提高，阅读理解，写作,静安区公立学校,一周1次，一次2个小时，周末，8月份上课次数可以多一点,,,彭江路大宁金茂府,,女,1人,专职教师，专业一点的，耐心一点,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
107,奥数竞赛家教,初一家教,男,13,协商,无,9月份初二懂数学，要有竞赛水平。,私立学校,暑假周二四晚上，一周两次，一次两个小时。,,,临青路河间路交界附近，12号线,,无,1人,在校教员，耐心，有补课经验的。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
108,英语数学家教,高一家教,女,,160/ 2H,无,高中课程 中本贯通的   数学和英语分开教,罗南中学,一周一次，一次两个小时，,,罗店,石驳岸路市一路,,女,2人,在校教员，经验丰富，对孩子有耐心，熟悉教材的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,发布中
109,全科家教,五年级家教,女,,120/2h,无,开学六年级 辅导学校作业 难点都能帮助孩子理解，并分析一下,,8月份开始 一周3次 周三、四、五晚上7:30-9:30,,,龙吴路徐汇新城,,女,1人,在校教员，有耐心 补习家教经验丰富 要华师大理工大的硕士生,学员要求看简历，有意向的教员请认真完善简历。,教员上门,发布中
110,化学家教,高一家教,男,,协商,无,开学高一，预习下 3个孩子，家长组织一起上课,13524305951,"时间周一三五3点到5点,一周3次",,,2号线川沙下来5分2号线川沙下来5分交界附近，2号线川沙下来5分钟,,无,1人,在校教员，有补课经验的，负责一点的，要研究生,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
111,英语 数学 历史家教,六年级家教,男,,150/2h,无,英文版数学辅导一下，英语阅读写作辅导一下,双语学校,暑假6月底开始，一周3次，一次2个小时 下午,,,银霄路花木路交界附近，地铁2号线世纪公园步行10分钟,,无,1人,有辅导经验的，负责一点的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
112,语文家教,四年级家教,女,12,协商,无,成绩一般，开学5年级,,一周一次，时间协商，不要周末,,国和新村,中原路市光路交界附近，8号线市光路站步行5分钟,,无,1人,在校教员，有补课经验的，负责一点的，有自己的一套学习方法的。要上海人。要实习的语文老师，上门带证件,学员要求看简历，有意向的教员请认真完善简历。,教员上门,发布中
113,全科家教,一年级家教,女,,120/2H,无,还可以，辅导功课，一升二，英语语文  主要陪阅读,,8月10日以后  一周两次,,,古美西路茏名路交界附近，闵行区外环附近,,女,1人,在校教员，有辅导经验 耐心，负责。只要958的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
114,语文 物理 化学家教,初三家教,男,,协商,无,新高一，针对分班考，提前预习高中的内容,新复兴,一周1-2次，一次2个小时，时间可以协商,,,黄兴路,,无,3人,在职教师，有辅导经验的，专业一点的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
115,全科家教,一年级家教,女,,协商,无,辅导功课，检查作业，数学英文版教材的,国际学校,一周4次，一次2个小时，周一4点左右，二三四5点左右,,,北京西路泰兴路,,女,1人,老师或者大学生都可以，家教经验丰富的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['发布中']
116,数学家教,初二家教,男,,400/2h,无,开学升初二，成绩浮动比较大,上师大三附中,暑假7月20号之前都可以   8月20号以后可以安排，一周一次  一次两个小时 时间协商,,,漕宝路光大附近,,无,1人,在职教师，能长期带的，有经验的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
117,语文家教,高二家教,女,17,500/2h,无,成绩中等，阅读写作需要提高，开学高三,,一周2次，一次两个小时，二四六晚上或者下午,,,娄山关路长宁路交界附近，2号线娄山关路站,,女,1人,在职教师，教员有耐心，有家教经验,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
118,数学家教,高二家教,男,,180/2h,无,开学高二，成绩一般，不太稳定,田家炳中学,周二四六上午，一周2到3次,,,场北路康宁路交界附近，1号线通河新村下来10分钟,,男,1人,在校教员，有补课经验的，要上海人,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
119,英语家教,五年级家教,男,,300/2h,无,成绩还可以，提高一下,向阳小学,开学周六上午或者晚上，一周一次,,,华山路淮海中路交界附近，10、11号线交大站,,男,1人,在职教师，在职老师最好，负责一点的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
120,数学 物理家教,初二家教,男,,200/2h,无,作业检查 难题讲解 开学初三,兰生复旦中学,暑假一周2-3次  开学一周一次,,,仁德路武东路交界附近，复旦大学,,无,1人,在校教员，有补课经验的 数学强项的。老师负责任用心一点，先备课  老师时间充裕一些的,学员要求看简历，有意向的教员请认真完善简历。,"教员上门,在线辅导",['已关闭']
121,语文家教,一年级家教,男,,协商,无,看书说话，学校的内容同步，预习新课，开学二年级,民办小学,一周1-2次，一次2个小时，时间可商,,,江浦路控江路交界附近，八号线江浦路站出站3分钟,,女,1人,在校教员，有补习家教经验有耐心，有责任心，最好相关专业的,学员要求看简历，有意向的教员请认真完善简历。,"教员上门,学员上门",['已关闭']
122,物理 化学家教,初二家教,女,,150/2h,无,化学提前学习一下，物理补差 开学初三,进才中学,暑假7月份，化学物理一周2次，一次2个小时,,,金科路张江汤臣豪园二期,,无,1人,在校教员，有补课经验的，教学方法思路清晰 阳光大气 家里有兄弟姐妹的优先,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
123,英语家教,高二家教,男,,协商,无,成绩一般，从高二上学期开始补,上理工附属中学,7.17开始一周一次，一次两个小时，时间可商,,平凉路,平凉路宁武路,,无,1人,在校教员，有辅导经验 有耐心,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
124,新概念1家教,一年级家教,男,6,300/2h,无,开学一年级 有点基础的，之前没有学过,博生幼儿园,暑假双休日时间协商 一周一次，一次2个小时,,,大连路周家嘴路交界附近，4号线大连路走10分钟,,无,1人,专职教师，耐心一点，比较喜欢小朋友的 带过新概念1的老师,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
125,奥数/青少年科技创新家教,三年级家教,男,,350/2h,无,机构学的 水平一般 错题讲解,民办小学,一周2-3次，一次2个小时，暑假具体时间协商,,,本溪路铁岭路交界附近，8号线江浦路步行5分钟,,无,1人,专职教师，有补习家教经验有耐心，有责任心,学员要求看简历，有意向的教员请认真完善简历。,"教员上门,学员上门",['已关闭']
126,雅思家教,高一家教,男,17,500/2h,无,开学高二，国际孩子，成绩还可以。雅思学的比较零碎。成绩在5.5左右,国际学校,周一到周五的白天，一周3次，一次两个小时。,,康健新村,钦州南路交界附近，12号线虹漕路站走1公里可到,,无,1人,专职教师，有补课经验的，负责一点的，女老师优先。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
127,数理化家教,高一家教,女,,协商,无,高一辅导、学生安徽合肥庐江中学,,7月15号之后开始，上到8月25，一周次数协商,,,安宁路458弄千岱名墅,,无,1人,在校教员，亲和力好一点，严肃,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
128,数学家教,二年级家教,女,8,120/2h,无,补差型 巩固一年假二年级课程,御桥小学,目前就可以开始 一周3次 每次2小时,,北蔡,京浦路沪南路交界附近，11号线,,无,1人,在校教员，有补课经验的 数学好的 有方式方法 严厉一点的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
129,数字家教,三年级家教,男,9,120/2H,无,开学3年级 提高型  上学而思的 辅导作业,虹口红星小学,7.15-19 白天 9am-2pm 任意两小时 补习数学 开学再需要的,,临平路,四号线临平路,,无,1人,在校教员，有辅导经验的 耐心，认真,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
130,数学英语家教,四年级家教,女,,160/2H,无,成绩一般，,上海大附小,周一三五全天，一周3次,,,网络授课网络授课交界附近，网络授课,,无,1人,在校教员，普通话标准一点，互动好一点的，有耐心一点，希望上海的,学员要求看简历，有意向的教员请认真完善简历。,"教员上门,在线辅导",['已关闭']
131,英语家教,六年级家教,女,14,140/2h,无,开学初一 提高型 复习预习,,8月份开始 一周5次 时间可协商 一次2小时,,朱泾,人民路秀洲路,,女,1人,在校教员，有补习家教经验 细心负责,学员要求看简历，有意向的教员请认真完善简历。,教员上门,已关闭
132,英语家教,初一家教,男,,140/2h,无,9月份初二，成绩不是很好，60多分左右，以课本基础知识为主。,,周一三下午1点到3点，一周2次，一次两个小时。,,安亭,杭桂路绿苑路交界附近，曹安路同济大学附近,,男,1人,在校教员，有补课经验的，耐心负责,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
133,英语 钢琴家教,六年级家教,男,,220/2H,无,钢琴要考八级，英语辅导作业题目,,一周三次，就七月份之后协商，下午，一次2小时,,古美路街道,莲花路顾戴路,,女,1人,在校教员，有丰富的辅导经验,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
134,全科家教,幼儿家教,女,,300/2h,无,幼升小，全科辅导下,,周六上午，周日上午，一周2次，或平时周一到周五的晚上6点半以后,,,11号线三林东11号线三林东交界附近，11号线三林东,,女,1人,在职教师，有补课经验的，负责一点的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
135,英语家教,初一家教,男,12,400/2h,无,开学 初一 这次考试80多分,颛桥中学,一周一次，一次2个小时，周末的时间可以协调,,颛桥,鑫都路鑫峰苑,,男,1人,专职教师，有辅导经验的，耐心，专业一点,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
136,英语家教,三年级家教,男,,140/2H,无,开学四年级 不太自觉 语法方面,64小,暑假一周3次 周一到周三晚上6点以后 周四五六日时间协商 隔天上 一次2小时,,高东,光泽路高东馨苑交界附近，6号线航津路站换一部公交车乘2站,,女,1人,有补习家教经验，耐心，擅长英语的 有方法可以引导的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
137,物理家教,初三家教,男,,400/2h,无,开学初三 成绩一般 主要复习+预习,辽源中学,暑假周一到周日，每科一周2次，一次2小时,,梅陇,兴梅路莲花南路交界附近，1号线莲花路转车，公车方便，莘庄南广场,,男,1人,在职教师，有经验，耐心一些，有方法的，可以提高的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
138,数学家教,初三家教,男,,350/2h,无,开学初三 成绩一般 主要复习+预习,辽源中学,暑假周一到周日，每科一周2次，一次2小时,,梅陇,兴梅路莲花南路交界附近，1号线莲花路转车，公车方便，莘庄南广场,,男,1人,在职教师，有经验，耐心一些，有方法的，可以提高的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
139,高等数学家教,大二家教,男,,180/2h,无,数学一过了，数学二没有通过，想要讲解题目,南方科技大学,一周2次左右，一次2H 具体时间协调,,友谊路,网上授课网上授课,,无,1人,在校教员，有辅导经验的，耐心，负责,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
140,计算机家教,三年级家教,男,,130/2h,无,锻炼孩子计算机操作能力，主要是打字和计算机的应用。（包括暑假作业的辅导）。9月份4年级。,,暑假周四上午9-11点 一周1次，一次2小时。,,梅陇,虹梅南路春申路,,无,1人,在校教员，严格，细心，有补习家教经验的。计算机专业优先,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
141,高等数学家教,大二家教,男,,200/2h,无,数学一过了，数学二没有通过，想要讲解题目,南方科技大学,一周2次左右，一次2H 具体时间协调,,友谊路,网上授课网上授课,,无,1人,在校教员，有辅导经验的，耐心，负责,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
142,围棋家教,幼儿家教,男,5,150/1h,无,学过的 20号要参加11-10级考试,国际学校,下周一周2、3、4、5每天都要 每次1小时  以后每周2次,,,成山路华鹏路 交界附近，华鹏路 13号线,,无,1人,有补课经验的  有经验的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
143,数学家教,五年级家教,男,,300/2h,无,巩固5年级，突击下分班考，预习新课，成绩还可以的，数学应用题,上海实验小学,暑假，一周2次，白天,,老西门,中华路方浜中路交界附近，地铁8号线10线老西门,,无,1人,在职教师，有补习辅导经验，启发孩子学习兴趣，能稳定一点的，,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
144,数学家教,六年级家教,女,,140/2h,无,9月份初一，成绩一般，提高 。,,暑期7月18日开始一三五上午9点到11点，一周3次，一次两个小时。,,,海防路西康路交界附近，7号线长寿路站5分钟可到,,女,1人,在校教员，有补课经验 有耐心 理科好一些的，复旦交大同济优先。,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
145,语文家教,五年级家教,女,,140/2h,无,成绩一般 阅读理解方面，开学5年级,闵行实验小学,8月开始，一周1次，开学后周日下午,,,莲花南路高兴路交界附近，1号线莘庄下来做2站路公交,,女,1人,在校教员，家教辅导经验丰富的，耐心,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
146,数学英语家教,幼儿家教,男,,120/2h,无,5岁 思维训练的作业,,暑假里面 一周2次 周一到周五（除了周四）晚上 一次2小时,,花木,浦建路杨高南路交界附近，2.4 号线浦电路/科技馆步行5-10分钟,,女,1人,在校教员，有补习家教经验的 有耐心 英语发音标准,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
147,全科/乐理家教,二年级家教,女,,4000/1个月,无,机构课 小班制  5-8岁的暑拖班   4-6个孩子,,周一到周五  9:00-4:00 中午孩子午睡  一个半月,,,芳甸路阳高中路,,无,2人,在校教员，有经验的 能力比较好的  最好是带过孩子的 最好能是艺术类的教员 会看谱   乐理老师找专业的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,已关闭
148,数学英语家教,六年级家教,女,,180/3h,无,"成绩不是很好,开学初一",,现在开始一周3到4次，时间都可以，8月要出去玩不需要 一次3小时,,,春申路沪闵路交界附近，5号线春申路下来走5分钟,,女,1人,在校教员，有经验的，负责一点的,学员要求看简历，有意向的教员请认真完善简历。,教员上门,['已关闭']
